,ratings,reviews
0,2,"  Ok the DSLR Giant Canon have launched 1 more entry level DSLR. Actually i bought this camera for my friend. Does this camera worth 31K. Lets seePROS1.  Its easy to use2. Decent battery backup3. Live mode operation is not lagging.CONS1. While focusing the DSLR is making too much noise and its the kind of annoying that u will lose interest in taking photos.2. No shortcut or assigned button to change F stop (aperture). A manufacturer who is keeping dedicated button for changing the ISO have to thing about the importance of aperture.3. You can't change the focusing point by pressing the round dial in the system, if u press it some other setup will open up.4. The output image quality is actually not mind blowing.5. White balance- Use it if u want to take risk6. Main issue. If u use camera flash to snap a pic during focusing it will flicker like anything and it will annoy and irritate the subject7. Noise Noise Noise. Whatever low ISO you use noise will b there and when i went to service center to ask about this they were saying use a prime lens to get good output.I am a Nikon user i have Nikon D3400. I compared both cameras by taking same images with same settings in manual mode. The output from Nikon is better than Canon 1500D.In one word if want to push photography to next level from using a Point and Shoot or mobile camera to DSLR Or to learn the whole DSLR setting go for it (only with a mindset to change the camera in 1 or 2 years). As canon accessories are comparatively less costly than Nikon it wont create hole in ur pocket.I am not biased towards Nikon, i wrote wat i felt.Its not worth for money"
1,5,  Good camera for beginners.
2,5,"  Great camera. Perfect product for young budding photographer..... Useful for in-house, nature, functions, and spare time photography. Take high quality pics, videos , portrait, landscape wildlife, nature pics etc"
3,5,"  Really impressed with Amazon surprise for delivering within the 2 nd day from ordered Really packing was excellent and the quality of the material is awesome love to control the camera from mobile through Wi-Fi easy to connect, best one for taking self photos and group pics also the quality of canon speaks everything dont go for any oscillation beginners blindly got for it"
4,1,"  You are on your own if you buy this product because canon local service center is of no help even in providing the product demo. We logged the complain on canon India site and not bothered to reply. Amazon call raised its hand saying ""proof of non service"" from local service center. So we have a DSLR that is producing blur images and canon is not providing any proper service. stay away"
5,1,  Request for replacement of camera main body  There is lot of blackspot/blackness automatically appears in View finder mirror just after 15 days.It is requested to please replace the camera as soon as possible.Awaiting early reply.Regards.
6,2,  I have received my product DSLR Cannon 1500D at 15 the October 2018 . But Adopter has not been given along with the DSLR which is a very common accessories.They must deliver that as soon as possible.Otheewise I gave to complain about it again & again.
7,3,"  Auto focus is not at all perfect.Minimum aperture is 4.5, so dont expect much in portrait.While focusing manually there is a play for the lense(18-55 mm) so that there is a chance for getting missing ur focus even though if ur made it correctly.Easy to operate compared to Nikkon models.Fast moving subjects cannot be captured as expected due to its poor auto focus performance. It take about 3 to 6 seconds to focus in internal lighting conditions and it fail to focus several times in dim lights.Plastic quality is poor.I got it for Rs.18599. So that it is a value for money product. Don't go for this model if ur willing to pay about 23k. Better go with Nikkon 5300."
8,4,  If you want to upgrade your camera from point and shoot to a dslr then it is a good camera for you but if you want to start videography then don't buy it auto focus of video is too much bad. If you want  a camera for videography then go foe canon 200D or Nikon D5600
9,5,"  I am really fully content with the product. It reached me within two days with everything  content in it and no doubt in a very good condition. It may be somewhat difficult for the beginners but it will not take a long to learn. If you are choosing between canon and Nikon I will suggest you canon because of its real colour capturing and fine focus of its lenses. You can get more slightly more features in Nikon than canon at the same price but that doesn't mean that will surely better than canon. You can look for contrast between canon and Nikon in the internet. I think it will suggest you the same""canon""."
